name, model, formula
mp1,matching_pennies/matching_pennies.prism,matching_pennies/can_odd_win_round_eventually_FALSE.props
mp2,matching_pennies/matching_pennies.prism,matching_pennies/can_they_guarantee_that_odd_always_has_larger_sum_TRUE.props
mp3,matching_pennies/matching_pennies.prism,matching_pennies/can_they_win_simultaneously_FALSE.props
gg4_circular1,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1234_ensure_that_p1234_omniscient_before_10_steps_TRUE.props
gg4_circular2,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1234_ensure_p1_gets_omniscient_before_10_steps_TRUE.props
gg4_circular3,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1234_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.props
gg4_circular4,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1234_eventually_omniscient_TRUE.props
gg4_circular5,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/eventually_10_steps_are_passed_TRUE.props
gg4_circular6,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p1_guarantee_omniscience_before_10_steps_FALSE.props
gg4_circular7,gossipping_girls/gossipping_girls_circular_4.prism,gossipping_girls/p234_eventually_omniscient_without_p1_TRUE.props
gg5_circular1,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/p12345_ensure_that_p12345_omniscient_before_10_steps_TRUE.props
gg5_circular2,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/p12345_ensure_p1_gets_omniscient_before_10_steps_TRUE.props
gg5_circular3,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/p12345_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.props
gg5_circular4,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/p12345_eventually_omniscient_TRUE.props
gg5_circular5,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/eventually_10_steps_are_passed_TRUE.props
gg5_circular6,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/p1_guarantee_omniscience_before_10_steps_FALSE.props
gg5_circular7,gossipping_girls/gossipping_girls_circular_5.prism,gossipping_girls/p2345_eventually_omniscient_without_p1_TRUE.props
gg6_circular1,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/p123456_ensure_that_p123456_omniscient_before_10_steps_TRUE.props
gg6_circular2,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/p123456_ensure_p1_gets_omniscient_before_10_steps_TRUE.props
gg6_circular3,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/p123456_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.props
gg6_circular4,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/p123456_eventually_omniscient_TRUE.props
gg6_circular5,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/eventually_10_steps_are_passed_TRUE.props
gg6_circular6,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/p1_guarantee_omniscience_before_10_steps_FALSE.props
gg6_circular7,gossipping_girls/gossipping_girls_circular_6.prism,gossipping_girls/p23456_eventually_omniscient_without_p1_TRUE.props
gg4_total1,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/p1234_ensure_that_p1234_omniscient_before_10_steps_TRUE.props
gg4_total2,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/p1234_ensure_p1_gets_omniscient_before_10_steps_TRUE.props
gg4_total3,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/p1234_ensure_that_only_p1_gets_omniscient_before_10_steps_TRUE.props
gg4_total4,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/p1234_eventually_omniscient_TRUE.props
gg4_total5,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/eventually_10_steps_are_passed_TRUE.props
gg4_total6,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/p1_guarantee_omniscience_before_10_steps_FALSE.props
gg4_total7,gossipping_girls/gossipping_girls_total_network_4.prism,gossipping_girls/p234_eventually_omniscient_without_p1_TRUE.props
mexican_standoff_3p_3hp_lcgs_survive_threads,mexican_standoff/mexican_standoff_3p_3hp.prism,mexican_standoff/can_p1_guarantee_to_survive_FALSE.props
mexican_standoff_3p_3hp_lcgs_suicide_threads,mexican_standoff/mexican_standoff_3p_3hp.prism,mexican_standoff/can_p1_suicide_FALSE.props
mexican_standoff_5p_1hp_lcgs_survive_threads,mexican_standoff/mexican_standoff_5p_1hp.prism,mexican_standoff/can_p1_guarantee_to_survive_FALSE.props
mexican_standoff_5p_1hp_lcgs_suicide_threads,mexican_standoff/mexican_standoff_5p_1hp.prism,mexican_standoff/can_p1_suicide_FALSE.props
mexican_standoff_5p_3hp_lcgs_survive_threads,mexican_standoff/mexican_standoff_5p_3hp.prism,mexican_standoff/can_p1_guarantee_to_survive_FALSE.props
mexican_standoff_5p_3hp_lcgs_suicide_threads,mexican_standoff/mexican_standoff_5p_3hp.prism,mexican_standoff/can_p1_suicide_FALSE.props
rps2,rock_paper_scissors/rock_paper_scissors.prism,rock_paper_scissors/p1_can_win_eventually_FALSE.props
rps1,rock_paper_scissors/rock_paper_scissors.prism,rock_paper_scissors/p1_never_lose_FALSE.props
